year,season,season_order,title,author,publisher,date,description,ISBN,Github_permalink,google_thumbnail,google_smallThumbnail,Cover URL override,cover_url,Github thumbnail,Cover,Style,Man partially unclothed,Woman partially unclothed,Has POC,
2020,Fall,2,The Stormbringer,Isabel Cooper,Sourcebooks Casablanca,Dec. 29,"introduces a world full of monsters, in this fantasy romance about a man newly awakened from a mystical sleep who teams up with a fierce female warrior to save the world from the Traitor God.",9.78173E+12,https://raw.githubusercontent.com/the-pudding/romance-cover-imgs/main/static/assets/images/img_9781728229287.jpg,http://books.google.com/books/content?id=ltOQzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=ltOQzQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,http://books.google.com/books/content?id=ltOQzQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,,Photorealistic,TRUE,FALSE,FALSE,
2021,Spring,1,The Duke Goes Down,Sophie Jordan,Avon,27-Jul,"launches the Duke Hunt series with this Regency-set enemies-to-lovers romance between a duke’s son, born out of wedlock, and avicar’s daughter who’ve hated each other since childhood.",9.78006E+12,https://raw.githubusercontent.com/the-pudding/romance-cover-imgs/main/static/assets/images/img_9780063035638.jpg,http://books.google.com/books/content?id=u7HdzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=u7HdzQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,http://books.google.com/books/content?id=u7HdzQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,,Photorealistic,TRUE,TRUE,FALSE,
2021,Spring,1,Heartless,Gena Showalter,Hqn,25-May,"A pro gamer receives a heart transplant that grants her mystical powers and leads her to a magical world ruled by a dangerous man who has a history with her heart’s previous owner. 600,000-copy announced first printing.",9.78134E+12,https://raw.githubusercontent.com/the-pudding/romance-cover-imgs/main/static/assets/images/img_9781335913777.jpg,http://books.google.com/books/content?id=CtYCzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=CtYCzgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,http://books.google.com/books/content?id=CtYCzgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,,Photorealistic,TRUE,FALSE,FALSE,
2021,Spring,1,The Virgin Who Vindicated Lord Darlington,Anna Bradley,Lyrical,Feb. 2,"Celia Gilchrist goes undercover as a governess to investigate the murder of a Marquess’s wife, but ends up falling for her lead suspect in Bradley’s second Swooning Virgins Society romance.",9.78152E+12,https://raw.githubusercontent.com/the-pudding/romance-cover-imgs/main/static/assets/images/img_9781516110384.jpg,http://books.google.com/books/content?id=vWbiDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books/content?id=vWbiDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,,http://books.google.com/books/content?id=vWbiDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,,,Photorealistic,TRUE,FALSE,FALSE,
2021,Spring,1,The Duke Heist,Erica Ridley,Forever,Feb. 9,"A con artist accidentally falls for her latest mark while pulling off her most personal crime to date, in the first Regency of Ridley’s Wild Wynchesters series, starred by PW.",9.78154E+12,https://raw.githubusercontent.com/the-pudding/romance-cover-imgs/main/static/assets/images/img_9781538719527.jpg,http://books.google.com/books/content?id=mp6UzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=mp6UzQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,http://books.google.com/books/content?id=mp6UzQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,,Photorealistic,TRUE,FALSE,FALSE,
2021,Spring,1,A Wolf in Duke’s Clothing,Susanna Allen,Sourcebooks Casablanca,Apr. 27,The kick-off of the Shape-Shifters of the Beau Monde paranormal Regency series sees a wolf-shifter duke searching for a mate during the London season.,9.78173E+12,https://raw.githubusercontent.com/the-pudding/romance-cover-imgs/main/static/assets/images/img_9781728230368.jpg,http://books.google.com/books/content?id=COaWzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=COaWzQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,http://books.google.com/books/content?id=COaWzQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,,Photorealistic,TRUE,FALSE,FALSE,
2021,Fall,2,A Reckless Match,Kate Bateman,St. Martin’s,Sept. 28,Childhood nemeses must team up to save their rival families from ruination in the enemies-to-lovers romance that launches Bateman’s Ruthless Rivals Regency series.,9.78125E+12,https://raw.githubusercontent.com/the-pudding/romance-cover-imgs/main/static/assets/images/img_9781250801562.jpg,http://books.google.com/books/content?id=cjwczgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=cjwczgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,http://books.google.com/books/content?id=cjwczgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,,Photorealistic,TRUE,FALSE,FALSE,
2021,Fall,2,Never Cross a Highlander,Lisa Rayne,Entangled Amara,Dec. 28,"takes on the highland romance genre with a tale of suspense, passion, and strapping Black Scotsmen.",9.78165E+12,https://raw.githubusercontent.com/the-pudding/romance-cover-imgs/main/static/assets/images/img_9781649370952.jpg,http://books.google.com/books/content?id=1J8czgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=1J8czgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,http://books.google.com/books/content?id=1J8czgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,,Photorealistic,TRUE,FALSE,TRUE,
2022,Spring,1,The Long Game,Rachel Reid,Carina,Apr. 26,"Game Changers, Reid’s gay hockey romance series, makes its print debut in this sixth outing, about on-ice nemeses who have a secret relationship.",9.78134E+12,https://raw.githubusercontent.com/the-pudding/romance-cover-imgs/main/static/assets/images/img_9781335458520.jpg,http://books.google.com/books/content?id=05OjzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=05OjzgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,http://books.google.com/books/content?id=05OjzgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,,Photorealistic,TRUE,FALSE,FALSE,
2022,Spring,1,I Am Ayah—The Way Home,Donna Hill,Sideways,26-Jul,"Photographer Ayah Flemming, a descendant of one of the captives transported by the Amistad, finds love while confronting her family’s past in Hill’s intergenerational sophomore outing.",9.78165E+12,https://raw.githubusercontent.com/the-pudding/romance-cover-imgs/main/static/assets/images/img_9781649371461.jpg,http://books.google.com/books/content?id=Gfc4EAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books/content?id=Gfc4EAAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,http://books.google.com/books/content?id=Gfc4EAAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,,,Illustrated,FALSE,TRUE,TRUE,
